# UVW Continuos Ramp
# u v w

# Plate 0
0.000 -1.200 0.000
0.000  1.200 0.000
0.621  1.200 0.000
0.621 -1.200 0.000
0.000 -1.200 0.000


# Plate 1
0.621 -1.200 0.000
0.621  1.200 0.000
1.242  1.200 0.000
1.242 -1.200 0.000
0.621 -1.200 0.000


# Plate 2
1.242 -1.200 0.000
1.242  1.200 0.000
1.863  1.200 0.000
1.863 -1.200 0.000
1.242 -1.200 0.000


# Plate 3
1.863 -1.200 0.000
1.863  1.200 0.000
2.484  1.200 0.000
2.484 -1.200 0.000
1.863 -1.200 0.000


# Plate 4
2.484 -1.200 0.000
2.484  1.200 0.000
3.105  1.200 0.000
3.105 -1.200 0.000
2.484 -1.200 0.000


# Plate 5
3.105 -1.200 0.000
3.105  1.200 0.000
3.726  1.200 0.000
3.726 -1.200 0.000
3.105 -1.200 0.000

# Plate 6
3.726 -1.200 0.000
3.726  1.200 0.000
4.968  1.200 0.000
4.968 -1.200 0.000
3.726 -1.200 0.000


# Plate 7
4.968 -1.200 0.000
4.968  1.200 0.000
6.210  1.200 0.000
6.210 -1.200 0.000
4.968 -1.200 0.000


# Plate 8
6.210 -1.200 0.000
6.210  1.200 0.000
7.452  1.200 0.000
7.452 -1.200 0.000
6.210 -1.200 0.000

