# XYZ Continuous Ramp
# x, y, z

# Plate 0
0.000  1.200  0.000
0.000 -1.200  0.000
0.600 -1.200  0.161
0.600  1.200  0.161
0.000  1.200  0.000


# Plate 1
0.600  1.200  0.161
0.600 -1.200  0.161
1.200 -1.200  0.000
1.200  1.200  0.000
0.600  1.200  0.161


# Plate 2
1.200  1.200  0.000
1.200 -1.200  0.000
1.800 -1.200  0.161
1.800  1.200  0.161
1.200  1.200  0.000


# Plate 3
1.800  1.200  0.161
1.800 -1.200  0.161
2.400 -1.200  0.000
2.400  1.200  0.000
1.800  1.200  0.161


# Plate 4
2.400  1.200  0.000
2.400 -1.200  0.000
3.000 -1.200  0.161
3.000  1.200  0.161
2.400  1.200  0.000


# Plate 5
3.000  1.200  0.161
3.000 -1.200  0.161
3.600 -1.200  0.000
3.600  1.200  0.000
3.000  1.200  0.161


# Plate 6
3.600  1.200  0.000
3.600 -1.200  0.000
4.800 -1.200  0.323
4.800  1.200  0.323
3.600  1.200  0.000


# Plate 7
4.800  1.200  0.323
4.800 -1.200  0.323
6.000 -1.200  0.000
6.000  1.200  0.000
4.800  1.200  0.323


# Plate 8
6.000  1.200  0.000
6.000 -1.200  0.000
7.200 -1.200  0.323
7.200  1.200  0.323
6.000  1.200  0.000

